level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1600	1140	-1	
2	1	1	0	0	0	325	33	18	8	-1	
3	1	1	1	0	0	325	33	18	8	-1	
4	1	1	1	1	0	325	33	18	8	-1	
5	1	1	1	1	1	325	33	18	8	32.055740	ei
2	1	2	0	0	0	441	41	53	11	-1	
3	1	2	1	0	0	441	41	53	11	-1	
4	1	2	1	1	0	441	41	53	11	-1	
5	1	2	1	1	1	441	41	53	11	0.000000	Tanager
2	1	3	0	0	0	469	33	3	4	-1	
3	1	3	1	0	0	469	33	3	4	-1	
4	1	3	1	1	0	469	33	3	4	-1	
5	1	3	1	1	1	469	33	3	4	0.000000	.
2	1	4	0	0	0	1135	55	26	12	-1	
3	1	4	1	0	0	1135	55	26	12	-1	
4	1	4	1	1	0	1135	55	26	12	-1	
5	1	4	1	1	1	1135	55	26	12	60.974617	‘1980
2	1	5	0	0	0	1288	51	106	11	-1	
3	1	5	1	0	0	1288	51	106	11	-1	
4	1	5	1	1	0	1288	51	106	11	-1	
5	1	5	1	1	1	1284	43	59	28	11.722012	‘Bommerntioa
5	1	5	1	1	2	1346	43	32	28	27.480898	Dnt
5	1	5	1	1	3	1382	43	17	28	49.324306	Mo.
2	1	6	0	0	0	1526	60	13	9	-1	
3	1	6	1	0	0	1526	60	13	9	-1	
4	1	6	1	1	0	1526	60	13	9	-1	
5	1	6	1	1	1	1526	60	13	9	39.173477	a
2	1	7	0	0	0	851	71	27	8	-1	
3	1	7	1	0	0	851	71	27	8	-1	
4	1	7	1	1	0	851	71	27	8	-1	
5	1	7	1	1	1	851	71	27	8	22.939272	pia
2	1	8	0	0	0	435	55	319	42	-1	
3	1	8	1	0	0	435	55	319	42	-1	
4	1	8	1	1	0	435	55	319	42	-1	
5	1	8	1	1	1	435	55	53	42	0.000000	vette
5	1	8	1	1	2	498	55	63	42	0.000000	—Lletntl,
5	1	8	1	1	3	568	55	46	42	31.004082	Leith
5	1	8	1	1	4	624	55	18	42	46.831810	2
5	1	8	1	1	5	648	59	106	34	0.000000	ncn.
2	1	9	0	0	0	862	82	3	6	-1	
3	1	9	1	0	0	862	82	3	6	-1	
4	1	9	1	1	0	862	82	3	6	-1	
5	1	9	1	1	1	862	82	3	6	0.000000	\
2	1	10	0	0	0	1288	71	252	21	-1	
